timestamp,OSCaddress,typetag,timetag,,,
554,/motion/s1/ypr,fff,200.80466,153.0646,265.5466,
561,/motion/s1/quat,ffff,-0.45410156,0.18829346,0.7073364,-0.5079956
561,/motion/s1/aaWorld,iii,2195,2086,8659,
561,/motion/s1/aaReal,iii,4290,-7269,-3592,
561,/motion/s1/aa,iii,7986,-14558,-4178,
561,/motion/s1/ypr,fff,200.67618,153.18704,265.4044,
587,/motion/s1/quat,ffff,-0.449646,0.18444824,0.7089844,-0.5109863
587,/motion/s1/aaWorld,iii,2004,2258,8888,
587,/motion/s1/aaReal,iii,4563,-7387,-3570,
587,/motion/s1/aa,iii,8242,-14682,-4172,
587,/motion/s1/ypr,fff,200.56902,153.31422,265.2882,
590,/motion/s1/quat,ffff,-0.44537354,0.18066406,0.71051025,-0.51397705
590,/motion/s1/aaWorld,iii,2002,2306,8796,
590,/motion/s1/aaReal,iii,4504,-7306,-3612,
590,/motion/s1/aa,iii,8168,-14608,-4226,
590,/motion/s1/ypr,fff,200.49478,153.43755,265.19427,
594,/motion/s1/quat,ffff,-0.4411621,0.17687988,0.71191406,-0.5169678
594,/motion/s1/aaWorld,iii,2396,2482,8677,
594,/motion/s1/aaReal,iii,4308,-7231,-4045,
594,/motion/s1/aa,iii,7956,-14540,-4670,
594,/motion/s1/ypr,fff,200.43861,153.55989,265.11627,
606,/motion/s1/quat,ffff,-0.43701172,0.17297363,0.71325684,-0.52001953
606,/motion/s1/aaWorld,iii,2288,2437,8867,
606,/motion/s1/aaReal,iii,4364,-7420,-3963,
606,/motion/s1/aa,iii,7998,-14736,-4596,
606,/motion/s1/ypr,fff,200.41502,153.67389,265.0555,
613,/motion/s1/quat,ffff,-0.43273926,0.16900635,0.71447754,-0.5231323
613,/motion/s1/aaWorld,iii,1938,2492,8902,
613,/motion/s1/aaReal,iii,4560,-7381,-3736,
613,/motion/s1/aa,iii,8178,-14704,-4376,
613,/motion/s1/ypr,fff,200.39035,153.79706,265.00555,
626,/motion/s1/quat,ffff,-0.42852783,0.16491699,0.7156372,-0.52630615
626,/motion/s1/aaWorld,iii,1806,2614,8320,
626,/motion/s1/aaReal,iii,4411,-6809,-3677,
626,/motion/s1/aa,iii,8014,-14138,-4322,
626,/motion/s1/ypr,fff,200.39584,153.91135,264.9727,
632,/motion/s1/quat,ffff,-0.42425537,0.16082764,0.7167969,-0.52948
632,/motion/s1/aaWorld,iii,1863,2811,8030,
633,/motion/s1/aaReal,iii,4332,-6509,-3838,
633,/motion/s1/aa,iii,7920,-13846,-4488,
633,/motion/s1/ypr,fff,200.39377,154.03017,264.9382,
644,/motion/s1/quat,ffff,-0.41986084,0.15667725,0.71795654,-0.5326538
645,/motion/s1/aaWorld,iii,1663,2856,8406,
645,/motion/s1/aaReal,iii,4590,-6810,-3762,
645,/motion/s1/aa,iii,8162,-14154,-4418,
645,/motion/s1/ypr,fff,200.38202,154.15305,264.89978,
654,/motion/s1/quat,ffff,-0.41558838,0.15234375,0.71899414,-0.53582764
654,/motion/s1/aaWorld,iii,522,2840,9990,
654,/motion/s1/aaReal,iii,5909,-8004,-3029,
654,/motion/s1/aa,iii,9468,-15354,-3688,
654,/motion/s1/ypr,fff,200.4106,154.2556,264.88297,
665,/motion/s1/quat,ffff,-0.41156006,0.14758301,0.72003174,-0.5388794
665,/motion/s1/aaWorld,iii,691,2472,11452,
665,/motion/s1/aaReal,iii,6161,-9509,-3060,
665,/motion/s1/aa,iii,9714,-16862,-3720,
665,/motion/s1/ypr,fff,200.50769,154.30286,264.87756,
680,/motion/s1/quat,ffff,-0.40716553,0.14324951,0.72106934,-0.5419922
680,/motion/s1/aaWorld,iii,1844,1611,10877,
680,/motion/s1/aaReal,iii,4585,-9605,-3321,
